camera,range_m,speed_m_s,heading_rel_deg,pos_std_m,vel_std_m_s,ego_vx
1759902479483979544,4.394,16.76,3.38,0.1074,0.395,22.2146
1759902479529980730,4.126,16.215,2.16,0.104,0.3901,22.2186
1759902479576807579,3.917,15.876,1.32,0.1023,0.3884,22.1995
1759902479617535491,4.048,15.843,-0.86,0.1,0.3856,22.2283
1759902479660800985,3.814,15.238,2.21,0.0992,0.3852,22.2583
1759902479710336895,3.596,15.789,-4.38,0.1002,0.3857,22.2775
1759902479767401075,3.527,15.908,0.46,0.1025,0.3895,22.2918
1759902479807557668,3.617,16.081,3.87,0.0999,0.3853,22.2904
1759902479855662240,3.458,15.352,1.63,0.1002,0.3864,22.3098
1759902479904878280,3.316,15.074,-1.26,0.1006,0.387,22.2703
1759902479958086164,3.836,15.29,-8.11,0.1018,0.3838,22.2657
1759902480008035902,3.9,15.542,-8.15,0.1017,0.382,22.2677
1759902480058247759,3.953,15.719,-7.71,0.1017,0.3821,22.1757
1759902480106279132,3.919,15.872,-0.66,0.1012,0.3817,21.9409
1759902480152141914,4.083,15.662,-1.47,0.1004,0.3818,21.8109
1759902480202677839,4.066,16.219,-6.53,0.1011,0.3834,21.7814
1759902480254870389,4.149,16.409,-2.76,0.1018,0.3855,21.6146
1759902480304962477,4.211,16.35,0.68,0.1018,0.3855,21.4663
1759902480355912350,4.285,16.312,3.1,0.102,0.3853,21.3351
1759902480402468804,4.224,15.917,0.34,0.1011,0.3849,21.2284
1759902480481632801,3.964,17.083,-0.16,0.1078,0.3957,21.0822
1759902480528193142,3.915,17.863,-0.51,0.1044,0.3913,20.9662
1759902480583046961,3.967,19.009,-1.4,0.1043,0.392,20.867
1759902480628128435,4.142,18.616,1.77,0.1021,0.389,20.7203
1759902480678705147,4.171,17.949,2.07,0.1021,0.3893,20.5808
1759902480721937860,4.449,16.866,3.2,0.1004,0.3867,20.501
1759902480769580984,4.641,16.066,3.68,0.1004,0.3867,20.3818
1759902480818164629,4.587,16.374,4.36,0.1006,0.3873,20.2623
1759902480865569779,4.763,16.227,4.73,0.1004,0.3874,20.1973
1759902480917218874,4.624,16.672,-0.09,0.1012,0.3884,20.0837
1759902480966319795,4.442,16.928,4.07,0.1011,0.3892,20.0099
1759902481011997565,4.38,17.238,7.15,0.1001,0.3885,19.917
1759902481062446624,4.414,17.179,9.1,0.1005,0.3897,19.773
1759902481109778945,4.516,17.456,5.84,0.0999,0.3896,19.6439
1759902481154649508,4.551,17.997,3.37,0.099,0.3882,19.5561
1759902481205135246,4.409,17.25,-0.77,0.0997,0.3862,19.4546
1759902481254805371,4.324,16.656,-3.93,0.1,0.3831,19.3623
1759902481305307472,4.473,16.966,-5.19,0.1005,0.3825,19.2561
1759902481351362432,4.563,16.18,-6.1,0.0998,0.3807,19.1805
1759902481401156885,4.667,16.133,-5.44,0.1003,0.3824,19.1104
1759902481482274096,4.458,18.296,-3.06,0.1075,0.3948,19.0176
1759902481531391149,4.473,18.569,-3.59,0.1046,0.3909,18.9778
1759902481576959282,4.725,20.623,-3.66,0.1022,0.3883,18.9369
1759902481629379758,5.156,21.969,-2.79,0.1025,0.3897,18.8891
1759902481678853861,5.497,22.877,-1.98,0.102,0.3897,18.8303
1759902481728258161,5.096,20.817,-2.89,0.1018,0.3893,18.7747
1759902481771527655,4.89,19.409,-2.23,0.1003,0.3873,18.7112
1759902481822744869,4.777,18.669,-1.52,0.1013,0.3892,18.677
1759902481877736974,4.601,18.877,-0.82,0.1027,0.3915,18.6346
1759902481923930658,4.528,18.95,0.62,0.1015,0.3899,18.5703
1759902481969015220,4.482,19.022,1.7,0.1005,0.3887,18.4573
1759902482019717763,4.465,17.76,1.33,0.1013,0.39,18.3314
1759902482069388311,4.205,16.653,-0.97,0.1015,0.3899,18.2299
1759902482112571541,4.464,17.778,1.08,0.1001,0.3881,18.1369
1759902482160431920,4.69,18.599,2.57,0.1004,0.3887,18.0389
1759902482212024880,4.379,17.223,0.73,0.1014,0.39,17.9454
1759902482264741800,4.149,16.379,-1.28,0.1022,0.3903,17.8297
1759902482305313305,4.354,17.863,-1.84,0.0999,0.3866,17.7407
1759902482357887834,4.378,17.334,-1.11,0.1014,0.3889,17.6068
1759902482432139286,4.466,17.275,-6.3,0.107,0.3945,17.4988
1759902482477631153,4.338,17.601,1.23,0.1037,0.3894,17.3949
1759902482526368684,4.531,17.477,5.37,0.1025,0.3866,17.2918
1759902482577498291,4.73,17.42,8.11,0.1023,0.3851,17.1826
1759902482628467492,4.774,17.587,3.9,0.1021,0.386,17.061
1759902482677367832,4.959,17.963,2.72,0.1016,0.3863,16.9643
1759902482728694374,5.212,18.123,4.65,0.1019,0.3879,16.8794
1759902482778569872,4.988,16.915,5.57,0.1017,0.3886,16.782
1759902482819418445,4.664,17.065,-2.43,0.0993,0.3834,16.7391
1759902482866479211,4.581,17.235,-8.05,0.0994,0.3782,16.6336
1759902482915530008,4.576,16.261,-2.37,0.1,0.3805,16.5409
1759902482961878167,4.716,16.241,-2.62,0.0998,0.3816,16.4285
1759902483009724048,4.949,17.007,0.2,0.1001,0.3834,16.3059
1759902483061009512,5.161,17.572,2.3,0.1011,0.3859,16.1877
1759902483110455432,4.779,16.622,0.41,0.1012,0.3869,16.1396
1759902483162303447,4.869,17.739,-3.12,0.1018,0.3875,16.0784
1759902483207871380,5.003,17.153,-4.39,0.1007,0.3852,15.9851
1759902483254263001,5.074,18.366,0.96,0.1004,0.3854,15.889
1759902483330880500,5.154,18.161,-0.69,0.1069,0.3954,15.7704
1759902483352654898,5.136,18.043,-1.64,0.0982,0.383,15.7387
1759902483438366731,5.131,16.807,0.29,0.1077,0.398,15.5868
1759902483483003880,5.194,17.81,-0.93,0.1039,0.3928,15.4855
1759902483532706138,5.273,18.51,-1.74,0.1029,0.3918,15.3751
1759902483584658913,5.0,16.88,1.09,0.1029,0.3921,15.2742
1759902483627148572,5.059,16.931,2.82,0.1007,0.3891,15.1953
1759902483681089273,4.956,17.206,2.8,0.1021,0.3914,15.071
1759902483725763974,4.969,16.58,1.34,0.1008,0.3896,14.9938
1759902483776989714,4.98,16.108,0.24,0.1016,0.3906,14.9178
1759902483834836236,4.846,16.523,1.74,0.1035,0.3933,14.7837
1759902483870087336,4.697,15.832,0.99,0.0994,0.3874,14.7031
1759902483913960140,4.699,16.49,0.63,0.099,0.3871,14.6275
1759902483961666906,4.947,17.112,-1.97,0.0997,0.3875,14.5167
1759902484011603340,5.168,17.543,-3.71,0.1007,0.3879,14.4064
1759902484061467216,5.234,17.493,-3.7,0.1012,0.3881,14.2927
1759902484108434444,5.032,16.374,-3.48,0.1008,0.3874,14.2446
1759902484159009695,5.097,15.491,-0.53,0.1014,0.3885,14.138
1759902484202295430,5.026,16.88,-2.45,0.1001,0.3867,14.0454
1759902484256237805,5.03,17.947,-3.92,0.1018,0.3892,13.9739
1759902484309551973,5.313,18.058,-3.69,0.1027,0.3904,13.8668
1759902484379466053,5.617,17.147,-4.65,0.1068,0.396,13.7548
1759902484420972228,5.748,16.522,-5.11,0.1027,0.39,13.683
1759902484464892562,5.614,16.467,-7.03,0.101,0.3876,13.6016
1759902484516989792,5.444,16.306,-0.11,0.1018,0.3886,13.5179
1759902484561705792,5.219,17.208,6.79,0.1005,0.3842,13.4246
1759902484610522974,5.164,17.928,11.7,0.1006,0.3808,13.3423
1759902484656496659,5.08,17.387,9.02,0.1,0.3804,13.322
