camera,lidar_ts,radar_ts,distance_m
1759902478928846340,1759902478933351632,1759902478946536848,6.71
1759902478956869029,1759902478933351632,1759902478946536848,6.71
1759902479006282826,1759902479026237677,1759902479010326639,6.71
1759902479083071137,1759902479084481334,1759902479066455827,6.69
1759902479108503503,1759902479084481334,1759902479131881655,6.69
1759902479163772142,1759902479178365180,1759902479186429972,6.69
1759902479242686894,1759902479231367342,1759902479250410627,6.74
1759902479266939262,1759902479278659527,1759902479250410627,6.72
1759902479314594388,1759902479331602697,1759902479307531575,6.71
1759902479355388025,1759902479374593529,1759902479370252780,6.69
1759902479402216256,1759902479427678538,1759902479427903116,6.68
1759902479483979544,1759902479476440784,1759902479492246241,6.64
1759902479529980730,1759902479528606533,1759902479546696462,6.75
1759902479576807579,1759902479578680617,1759902479546696462,6.74
1759902479617535491,1759902479626774991,1759902479610228742,6.74
1759902479660800985,1759902479676620299,1759902479666781768,6.76
1759902479710336895,1759902479728483933,1759902479731340544,6.65
1759902479767401075,1759902479775098197,1759902479788266661,6.63
1759902479807557668,1759902479824688049,1759902479788266661,6.63
1759902479855662240,1759902479876769537,1759902479850801611,6.64
1759902479904878280,1759902479927683070,1759902479906260102,6.76
1759902479958086164,1759902479975304082,1759902479970417033,6.73
1759902480008035902,1759902480031375400,1759902480027678929,6.72
1759902480058247759,1759902480081008555,1759902480027678929,6.75
1759902480106279132,1759902480129476049,1759902480092520684,6.7
1759902480152141914,1759902480129476049,1759902480147362821,6.7
1759902480202677839,1759902480225507917,1759902480210327701,6.69
1759902480254870389,1759902480278673781,1759902480266488059,6.69
1759902480304962477,1759902480328194742,1759902480334909392,6.74
1759902480355912350,1759902480376777085,1759902480334909392,6.73
1759902480402468804,1759902480376777085,1759902480386224601,6.73
1759902480481632801,1759902480481574870,1759902480506096120,6.68
1759902480528193142,1759902480530080487,1759902480506096120,6.67
1759902480583046961,1759902480575056210,1759902480570440077,6.66
1759902480628128435,1759902480627289948,1759902480632163211,6.66
1759902480678705147,1759902480677016721,1759902480693713386,6.7
1759902480721937860,1759902480727835484,1759902480746429764,6.66
1759902480769580984,1759902480778625322,1759902480746429764,6.66
1759902480818164629,1759902480827551961,1759902480811286657,6.64
1759902480865569779,1759902480879423138,1759902480866707757,6.64
1759902480917218874,1759902480924325922,1759902480932266838,6.64
1759902480966319795,1759902480979271957,1759902480987915702,6.68
1759902481011997565,1759902481026429205,1759902480987915702,6.67
1759902481062446624,1759902481074164124,1759902481050378916,6.67
1759902481109778945,1759902481126769750,1759902481106499649,6.68
1759902481154649508,1759902481175741014,1759902481170490893,6.67
1759902481205135246,1759902481228875408,1759902481228365928,6.72
1759902481254805371,1759902481276660613,1759902481228365928,6.71
1759902481305307472,1759902481326482007,1759902481293937062,6.71
1759902481351362432,1759902481326482007,1759902481347159315,6.71
1759902481401156885,1759902481378094163,1759902481410651311,6.72
1759902481482274096,1759902481476754792,1759902481467149284,6.74
1759902481531391149,1759902481527446515,1759902481535187440,6.76
1759902481576959282,1759902481574232207,1759902481588276871,6.75
1759902481629379758,1759902481627180338,1759902481655267070,6.75
1759902481678853861,1759902481676598625,1759902481655267070,6.75
1759902481728258161,1759902481730898210,1759902481706676791,6.74
1759902481771527655,1759902481781389421,1759902481775534488,6.77
1759902481822744869,1759902481832088428,1759902481828869286,6.74
1759902481877736974,1759902481873681799,1759902481896024109,6.71
1759902481923930658,1759902481929685821,1759902481947831577,6.67
1759902481969015220,1759902481976630677,1759902481947831577,6.61
1759902482019717763,1759902482037318411,1759902482014029027,6.59
1759902482069388311,1759902482074075549,1759902482066512232,6.57
1759902482112571541,1759902482127905831,1759902482134744718,6.57
1759902482160431920,1759902482176808406,1759902482134744718,6.58
1759902482212024880,1759902482232753315,1759902482186831509,6.62
1759902482264741800,1759902482274801112,1759902482255186198,6.68
1759902482305313305,1759902482327397373,1759902482306973057,6.64
1759902482357887834,1759902482377280846,1759902482374421319,6.63
1759902482432139286,1759902482430669967,1759902482427082183,6.62
1759902482477631153,1759902482476063477,1759902482493120449,6.61
1759902482526368684,1759902482525259831,1759902482546320881,6.6
1759902482577498291,1759902482578363308,1759902482546320881,6.59
1759902482628467492,1759902482628889426,1759902482614419833,6.61
1759902482677367832,1759902482676457308,1759902482666228293,6.61
1759902482728694374,1759902482725366535,1759902482734508239,6.61
1759902482778569872,1759902482778908457,1759902482786942882,6.6
1759902482819418445,1759902482824915907,1759902482850570837,6.59
1759902482866479211,1759902482876180982,1759902482850570837,6.59
1759902482915530008,1759902482927608997,1759902482907251608,6.58
1759902482961878167,1759902482983085635,1759902482971226865,6.57
1759902483009724048,1759902483024331173,1759902483026817780,6.6
1759902483061009512,1759902483076124966,1759902483026817780,6.58
1759902483110455432,1759902483127930440,1759902483098447428,6.59
1759902483162303447,1759902483182710951,1759902483146606546,6.57
1759902483207871380,1759902483225044833,1759902483214479397,6.56
1759902483254263001,1759902483277736536,1759902483267335683,6.55
1759902483330880500,1759902483329452650,1759902483335296372,6.55
1759902483352654898,1759902483329452650,1759902483335296372,6.55
1759902483438366731,1759902483425295812,1759902483451002711,6.57
1759902483483003880,1759902483480467599,1759902483507153703,6.56
1759902483532706138,1759902483535047428,1759902483507153703,6.56
1759902483584658913,1759902483575936658,1759902483575702011,6.55
1759902483627148572,1759902483628235151,1759902483627085762,6.55
1759902483681089273,1759902483681267323,1759902483692682908,6.55
1759902483725763974,1759902483725067227,1759902483746627167,6.54
1759902483776989714,1759902483777263305,1759902483746627167,6.53
1759902483834836236,1759902483827428585,1759902483810658831,6.58
1759902483870087336,1759902483880510591,1759902483866460718,6.55
1759902483913960140,1759902483929599892,1759902483934684357,6.54
1759902483961666906,1759902483980435949,1759902483986385393,6.53
1759902484011603340,1759902484032413031,1759902483986385393,6.52
1759902484061467216,1759902484076809862,1759902484050582131,6.52
1759902484108434444,1759902484129126380,1759902484106944947,6.52
1759902484159009695,1759902484183101578,1759902484170762232,6.51
1759902484202295430,1759902484183101578,1759902484226387002,6.51
1759902484256237805,1759902484275783197,1759902484226387002,6.55
1759902484309551973,1759902484327648716,1759902484294505862,6.54
1759902484379466053,1759902484379849223,1759902484410497745,6.54
1759902484420972228,1759902484425493120,1759902484410497745,6.54
1759902484464892562,1759902484477415587,1759902484466299111,6.53
1759902484516989792,1759902484530303072,1759902484532358157,6.54
1759902484561705792,1759902484574312456,1759902484587071982,6.54
1759902484610522974,1759902484626877878,1759902484587071982,6.53
1759902484656496659,1759902484676522767,1759902484655281945,6.52
1759902484704193857,1759902484724495841,1759902484707386259,6.56
1759902484759448151,1759902484775775874,1759902484777034151,6.54
1759902484805270929,1759902484830955796,1759902484828748572,6.52
1759902484855245185,1759902484830955796,1759902484828748572,6.52
1759902484900496605,1759902484881047647,1759902484893069798,6.51
1759902484984328356,1759902484976640822,1759902485010789532,6.48
1759902485000666188,1759902484976640822,1759902485010789532,6.48
1759902485050759661,1759902485028459913,1759902485066218599,6.47
1759902485102884374,1759902485081785853,1759902485131262852,6.47
1759902485151616814,1759902485126784201,1759902485131262852,6.46
1759902485200603309,1759902485177742942,1759902485186287128,6.45
1759902485251418978,1759902485276895718,1759902485254365060,6.49
1759902485300719059,1759902485323306356,1759902485306294330,6.48
1759902485380666241,1759902485375544885,1759902485375922966,6.48
1759902485431012866,1759902485429667985,1759902485429274896,6.48
1759902485489551607,1759902485475370443,1759902485493311018,6.47
1759902485533232575,1759902485528354092,1759902485546486272,6.46
1759902485583040504,1759902485576808002,1759902485610654426,6.45
1759902485625955122,1759902485626257538,1759902485610654426,6.44
1759902485667680685,1759902485676796681,1759902485666420024,6.43
1759902485714640058,1759902485727277371,1759902485731042153,6.46
1759902485766473646,1759902485779189409,1759902485787140024,6.44
1759902485817919806,1759902485828720971,1759902485787140024,6.43
1759902485864660743,1759902485880007527,1759902485850764673,6.42
1759902485914973654,1759902485924292586,1759902485906985518,6.42
1759902485963272369,1759902485978026253,1759902485970812131,6.4
1759902486010317425,1759902486031850233,1759902486029145440,6.39
1759902486056895652,1759902486075613117,1759902486029145440,6.39
1759902486104025530,1759902486130468501,1759902486094748217,6.38
1759902486155803752,1759902486130468501,1759902486147014149,6.38
1759902486201589229,1759902486183182245,1759902486210585195,6.38
1759902486251069404,1759902486276178434,1759902486267003877,6.36
1759902486335793525,1759902486329976785,1759902486331303973,6.4
1759902486386842168,1759902486375188318,1759902486386870912,6.38
1759902486432063129,1759902486427250061,1759902486454569993,6.38
1759902486483128133,1759902486481957142,1759902486506443647,6.38
1759902486526427735,1759902486524238845,1759902486506443647,6.38
1759902486582860944,1759902486581333144,1759902486570934065,6.38
1759902486616472912,1759902486623390018,1759902486626536903,6.38
1759902486665899074,1759902486675108958,1759902486692736967,6.38
1759902486714405404,1759902486731801201,1759902486692736967,6.38
1759902486760932483,1759902486775960320,1759902486746778742,6.37
1759902486800179805,1759902486775960320,1759902486810611346,6.37
1759902486869203519,1759902486878251915,1759902486866513425,6.37
1759902486905953113,1759902486923841809,1759902486931547919,6.41
1759902486956174760,1759902486976041224,1759902486931547919,6.38
1759902487017255804,1759902487029062625,1759902486986774791,6.38
1759902487050309829,1759902487029062625,1759902487050796556,6.38
1759902487101606744,1759902487076347167,1759902487106612560,6.38
1759902487153543769,1759902487174428182,1759902487174495480,6.37
1759902487200485218,1759902487225457598,1759902487174495480,6.37
1759902487250788631,1759902487225457598,1759902487226492349,6.37
1759902487330460158,1759902487324488382,1759902487348209378,6.37
1759902487378029993,1759902487379508770,1759902487348209378,6.36
1759902487422588313,1759902487432457122,1759902487411583159,6.36
1759902487474232430,1759902487476060161,1759902487466477778,6.36
1759902487514005894,1759902487528036171,1759902487531744915,6.35
1759902487618775230,1759902487625812635,1759902487651065229,6.39
1759902487668222993,1759902487680483508,1759902487651065229,6.35
1759902487718974780,1759902487724629111,1759902487706465741,6.34
1759902487768922605,1759902487776827093,1759902487770818738,6.33
1759902487815349795,1759902487828071589,1759902487827081493,6.32
1759902487864892569,1759902487875438157,1759902487893203839,6.31
1759902487909506835,1759902487932476840,1759902487893203839,6.3
1759902487957327579,1759902487980600401,1759902487949071492,6.3
1759902488007394972,1759902488030179434,1759902488010709867,6.3
1759902488056969867,1759902488077367713,1759902488066782029,6.3
1759902488108820798,1759902488124871383,1759902488134084493,6.29
1759902488151867208,1759902488176934388,1759902488134084493,6.29
1759902488200790251,1759902488176934388,1759902488186694250,6.29
1759902488269962638,1759902488279239960,1759902488250842686,6.29
1759902488330028567,1759902488327631551,1759902488306598425,6.28
1759902488376681887,1759902488376896917,1759902488371006216,6.3
1759902488429397486,1759902488430987264,1759902488428255300,6.3
1759902488465219904,1759902488474873613,1759902488496412182,6.28
1759902488514581423,1759902488527872030,1759902488496412182,6.27
1759902488569405146,1759902488583785309,1759902488546320242,6.27
1759902488617610313,1759902488624674529,1759902488610750495,6.26
1759902488670176356,1759902488680663553,1759902488666513388,6.25
1759902488719984395,1759902488724527269,1759902488731773953,6.24
1759902488771261443,1759902488775261703,1759902488787658147,6.26
1759902488811592860,1759902488823959588,1759902488787658147,6.24
1759902488859742380,1759902488878078108,1759902488854547374,6.23
1759902488902969524,1759902488878078108,1759902488907468905,6.23
1759902488957320868,1759902488977820618,1759902488971588687,6.22
1759902489008309927,1759902489031474062,1759902489027982832,6.23
1759902489056659178,1759902489076556430,1759902489027982832,6.22
1759902489101917811,1759902489076556430,1759902489093101396,6.22
1759902489150083171,1759902489127872242,1759902489147544946,6.23
1759902489231036810,1759902489227950280,1759902489210888519,6.18
1759902489278130579,1759902489277845766,1759902489266476038,6.11
1759902489338771494,1759902489326383226,1759902489334584538,6.06
1759902489385160260,1759902489381927482,1759902489386689924,6.21
1759902489435325530,1759902489424819878,1759902489451132300,6.28
1759902489481154610,1759902489477072814,1759902489506691746,6.29
1759902489521822508,1759902489527369194,1759902489506691746,6.29
1759902489619234378,1759902489624636158,1759902489626933935,6.28
1759902489668941656,1759902489678398119,1759902489693257916,6.27
1759902489719026221,1759902489724996945,1759902489693257916,6.27
1759902489766808642,1759902489775883108,1759902489746741286,6.26
1759902489817873316,1759902489825410483,1759902489809331113,6.26
1759902489864457424,1759902489877353630,1759902489868103659,6.25
1759902489916349223,1759902489924013222,1759902489931449347,6.25
1759902489965083577,1759902489975375021,1759902489987480090,6.24
1759902490012962141,1759902490032489889,1759902489987480090,6.24
1759902490056321957,1759902490077980033,1759902490051469083,6.23
1759902490101340553,1759902490077980033,1759902490107726357,6.23
1759902490181332570,1759902490179629305,1759902490171348611,6.19
1759902490234720879,1759902490230019784,1759902490227793022,6.18
1759902490290444147,1759902490275502284,1759902490289236346,6.16
1759902490334839435,1759902490330957911,1759902490347969717,6.21
1759902490380450069,1759902490375388387,1759902490409788786,6.17
1759902490419293973,1759902490428604188,1759902490409788786,6.15
1759902490458983377,1759902490474720375,1759902490466674067,6.14
1759902490528431820,1759902490528356707,1759902490532111058,6.14
1759902490553754727,1759902490576559358,1759902490532111058,6.14
1759902490608203156,1759902490627595066,1759902490587228311,6.15
1759902490655222674,1759902490675597616,1759902490655446310,6.15
1759902490706538496,1759902490730871548,1759902490707707022,6.15
1759902490756522340,1759902490774748970,1759902490771304559,6.15
