camera,kf_distance,kf_velocity,ego_vx
1759902479314594388,6.7144,0.0332,22.1929
1759902479355388025,6.7081,0.0271,22.2119
1759902479402216256,6.7006,0.0201,22.2512
1759902479483979544,6.6829,0.002,22.2146
1759902479529980730,6.7036,0.0203,22.2186
1759902479576807579,6.7153,0.0296,22.1995
1759902479617535491,6.7236,0.0354,22.2283
1759902479660800985,6.7355,0.0439,22.2583
1759902479710336895,6.7114,0.0222,22.2775
1759902479767401075,6.6876,0.0004,22.2918
1759902479807557668,6.6703,-0.0138,22.2904
1759902479855662240,6.6608,-0.0213,22.3098
1759902479904878280,6.6899,0.0042,22.2703
1759902479958086164,6.7022,0.0147,22.2657
1759902480008035902,6.7081,0.0192,22.2677
1759902480058247759,6.7215,0.03,22.1757
1759902480106279132,6.716,0.024,21.9409
1759902480152141914,6.7119,0.0196,21.8109
1759902480202677839,6.706,0.0136,21.7814
1759902480254870389,6.7016,0.0092,21.6146
1759902480304962477,6.7136,0.0193,21.4663
1759902480355912350,6.7193,0.0234,21.3351
1759902480402468804,6.7233,0.0259,21.2284
1759902480481632801,6.7111,0.0121,21.0822
1759902480528193142,6.6988,0.0003,20.9662
1759902480583046961,6.6868,-0.0106,20.867
1759902480628128435,6.6783,-0.0176,20.7203
1759902480678705147,6.6843,-0.0117,20.5808
1759902480721937860,6.6766,-0.0177,20.501
1759902480769580984,6.671,-0.0216,20.3818
1759902480818164629,6.6609,-0.0292,20.2623
1759902480865569779,6.6537,-0.0341,20.1973
1759902480917218874,6.6483,-0.0372,20.0837
1759902480966319795,6.6566,-0.0285,20.0099
1759902481011997565,6.6597,-0.0248,19.917
1759902481062446624,6.662,-0.0218,19.773
1759902481109778945,6.6667,-0.017,19.6439
1759902481154649508,6.6671,-0.0159,19.5561
1759902481205135246,6.6825,-0.0021,19.4546
1759902481254805371,6.6907,0.0051,19.3623
1759902481305307472,6.6968,0.0101,19.2561
1759902481351362432,6.7011,0.0134,19.1805
1759902481401156885,6.7073,0.0182,19.1104
1759902481482274096,6.7186,0.0278,19.0176
1759902481531391149,6.7324,0.0394,18.9778
1759902481576959282,6.739,0.0438,18.9369
1759902481629379758,6.744,0.0461,18.8891
1759902481678853861,6.7474,0.0471,18.8303
1759902481728258161,6.7468,0.0445,18.7747
1759902481771527655,6.7551,0.0499,18.7112
1759902481822744869,6.7523,0.0454,18.677
1759902481877736974,6.7412,0.0335,18.6346
1759902481923930658,6.7207,0.0147,18.5703
1759902481969015220,6.6879,-0.0134,18.4573
1759902482019717763,6.6579,-0.0384,18.3314
1759902482069388311,6.63,-0.0606,18.2299
1759902482112571541,6.6102,-0.0749,18.1369
1759902482160431920,6.5986,-0.0816,18.0389
1759902482212024880,6.6021,-0.075,17.9454
1759902482264741800,6.623,-0.0533,17.8297
1759902482305313305,6.6266,-0.0484,17.7407
1759902482357887834,6.6258,-0.0469,17.6068
1759902482432139286,6.6216,-0.0476,17.4988
1759902482477631153,6.6165,-0.0502,17.3949
1759902482526368684,6.6098,-0.0541,17.2918
1759902482577498291,6.6018,-0.0586,17.1826
1759902482628467492,6.6022,-0.0557,17.061
1759902482677367832,6.6027,-0.0529,16.9643
1759902482728694374,6.603,-0.0502,16.8794
1759902482778569872,6.6004,-0.0504,16.782
1759902482819418445,6.5958,-0.0524,16.7391
1759902482866479211,6.5923,-0.0533,16.6336
1759902482915530008,6.5868,-0.0557,16.5409
1759902482961878167,6.5799,-0.0593,16.4285
1759902483009724048,6.584,-0.0535,16.3059
1759902483061009512,6.5809,-0.0538,16.1877
1759902483110455432,6.5818,-0.0508,16.1396
1759902483162303447,6.5764,-0.0532,16.0784
1759902483207871380,6.5697,-0.0568,15.9851
1759902483254263001,6.5619,-0.0612,15.889
1759902483330880500,6.555,-0.0634,15.7704
1759902483352654898,6.5525,-0.0643,15.7387
1759902483438366731,6.5542,-0.0573,15.5868
1759902483483003880,6.5542,-0.0549,15.4855
1759902483532706138,6.5541,-0.0526,15.3751
1759902483584658913,6.551,-0.053,15.2742
1759902483627148572,6.5491,-0.0527,15.1953
1759902483681089273,6.5474,-0.0517,15.071
1759902483725763974,6.5436,-0.053,14.9938
1759902483776989714,6.5376,-0.0558,14.9178
1759902483834836236,6.5483,-0.0434,14.7837
1759902483870087336,6.5477,-0.0426,14.7031
1759902483913960140,6.5441,-0.044,14.6275
1759902483961666906,6.5384,-0.047,14.5167
1759902484011603340,6.5312,-0.0511,14.4064
1759902484061467216,6.5261,-0.0533,14.2927
1759902484108434444,6.5225,-0.0542,14.2446
1759902484159009695,6.5168,-0.0568,14.138
1759902484202295430,6.513,-0.0579,14.0454
1759902484256237805,6.5221,-0.0473,13.9739
1759902484309551973,6.5258,-0.0417,13.8668
1759902484379466053,6.5282,-0.0366,13.7548
1759902484420972228,6.5308,-0.033,13.683
1759902484464892562,6.5295,-0.0328,13.6016
1759902484516989792,6.5315,-0.0296,13.5179
1759902484561705792,6.5332,-0.027,13.4246
1759902484610522974,6.5313,-0.0275,13.3423
1759902484656496659,6.527,-0.0301,13.322
1759902484704193857,6.5359,-0.0213,13.2642
1759902484759448151,6.5363,-0.0199,13.1251
1759902484805270929,6.5308,-0.0239,13.0337
1759902484855245185,6.5267,-0.0264,12.928
